 Length , Weight (g) 
 9.20 , 40.00 
 9.20 , 46.00 
 9.20 , 51.00 
 9.20 , 60.00 
 9.20 , 80.00 
 9.20 , 75.00 
 9.20 , 60.00 
 9.20 , 40.00 
 9.20 , 55.00 
 9.20 , 60.00 
 9.20 , 60.00 
 9.20 , 50.00 
 9.20 , 50.00 
 9.20 , 50.00 
 9.20 , 53.00 
 9.20 , 43.00 
 9.20 , 46.00 
 9.20 , 87.00 
 9.20 , 89.00 
 9.20 , 64.00 
 9.20 , 60.00 
 9.20 , 40.00 
 9.20 , 50.00 
 9.20 , 50.00 
 9.20 , 40.00 
 9.20 , 50.00 
 9.20 , 40.00 
 9.20 , 50.00 
 9.20 , 48.00 
 9.20 , 63.00 
 9.20 , 64.00 
 9.20 , 30.00 
 9.20 , 53.00 
 9.20 , 59.00 
 9.20 , 63.00 
 9.20 , 50.00 
 9.20 , 40.00 
 9.20 , 40.00 
 9.20 , 50.00 
 9.20 , 50.00 
 9.20 , 45.00 
 9.20 , 45.00 
 9.20 , 50.00 
 9.20 , 40.00 
 9.20 , 40.00 
 9.20 , 40.00 
 9.20 , 30.00 
 9.20 , 45.00 
 9.20 , 50.00 
 9.20 , 40.00 
 9.20 , 54.00 
 9.20 , 43.00 
 9.20 , 50.00 
 9.20 , 40.00 
 9.20 , 40.00 
 9.20 , 50.00 
 9.20 , 65.00 
 9.20 , 31.00 
 9.20 , 43.00 
 9.20 , 47.00 
 9.30 , 60.00 
 9.30 , 43.00 
 9.30 , 43.00 
 9.30 , 42.00 
 9.30 , 39.00 
 9.30 , 66.00 
 9.30 , 52.00 
 9.30 , 63.00 
 9.30 , 45.00 
 9.30 , 79.00 
 9.30 , 91.00 
 9.30 , 93.00 
 9.30 , 44.00 
 9.30 , 42.00 
 9.30 , 46.00 
 9.30 , 40.00 
 9.30 , 49.00 
 9.30 , 46.00 
 9.30 , 40.00 
 9.30 , 53.00 
 9.30 , 67.00 
 9.30 , 40.00 
 9.30 , 41.00 
 9.30 , 45.00 
 9.30 , 50.00 
 9.30 , 50.00 
 9.30 , 45.00 
 9.30 , 80.00 
 9.30 , 40.00 
 9.30 , 40.00 
 9.30 , 40.00 
 9.30 , 50.00 
 9.30 , 39.00 
 9.30 , 42.00 
 9.30 , 112.00 
 9.30 , 53.00 
 9.30 , 59.00 
 9.30 , 77.00 
 9.30 , 85.00 
 9.30 , 62.00 
 9.30 , 71.00 
 9.30 , 51.00 
 9.30 , 59.00 
 9.30 , 41.00 
 9.30 , 49.00 
 9.30 , 43.00 
 9.30 , 54.00 
 9.30 , 46.00 
 9.30 , 20.00 
 9.30 , 40.00 
 9.30 , 49.00 
 9.30 , 52.00 
 9.30 , 69.00 
 9.30 , 71.00 
 9.30 , 43.00 
 9.30 , 35.00 
 9.30 , 31.00 
 9.30 , 42.00 
 9.30 , 56.00 
 9.30 , 67.00 
 9.30 , 50.00 
 9.30 , 72.00 
 9.30 , 54.00 
 9.30 , 51.00 
 9.30 , 45.00 
 9.30 , 47.00 
 9.30 , 50.00 
 9.30 , 49.00 
 9.30 , 41.00 
 9.30 , 48.20 
 9.30 , 58.00 
 9.30 , 61.00 
 9.30 , 55.00 
 9.30 , 56.00 
